naam,jaar,beschrijving,afbeelding
Tank,1917,"Het klassieke rechthoekige horloge met Romeinse cijfers en blauwe wijzers.", 
Santos,1904,"Het allereerste polshorloge ooit gemaakt, oorspronkelijk ontworpen voor de Braziliaanse luchtvaartpionier Alberto Santos-Dumont.", 
Ballon Bleu,2007,"Horloge met een ronde kast, een bolvormige kroon en een guilloche wijzerplaat met Romeinse cijfers.", 
Pasha,1985,"Sportief horloge met een vierkante kast, waterbestendig tot 100 meter en een ronde kroon met een blauwe saffier.", 
Drive de Cartier,2016,"Een eigentijds horloge met een tonneauvormige kast en een comfortabele pasvorm.", 
Calibre de Cartier,2010,"Een robuust horloge met een automatisch uurwerk en een gladde afwerking.", 
Clé de Cartier,2015,"Een stijlvol horloge met een ronde kast en een unieke kroon die lijkt op een sleutel.", 
Rotonde de Cartier,2006,"Een klassiek horloge met een ronde kast en een guilloche wijzerplaat.", 
Tortue,1912,"Een horloge met een eigenzinnige, kussenvormige kast en een handgemaakte wijzerplaat.", 
Panthère de Cartier,1983,"Een dameshorloge met een flexibele schakelarmband en een rechthoekige kast.", 
Baignoire,1912,"Een ovaalvormig horloge met een zachte en vrouwelijke uitstraling.", 
Ronde Louis Cartier,1937,"Een stijlvol horloge met een ronde kast en een klassieke uitstraling.", 
Tonneau,1906,"Een horloge met een tonneauvormige kast en een klassieke uitstraling.", 
Santos-Dumont,2019,"Een eerbetoon aan de luchtvaartpionier Alberto Santos-Dumont, met een rechthoekige kast en een retro uitstraling.", 
Must de Cartier,1977,"Een horloge met een elegante stalen kast en een subtiel ontwerp.", 
Roadster,2002,"Een sportief horloge met een aerodynamische kast en een opvallend ontwerp.", 
Crash,1967,"Een horloge met een vervormde kast die doet denken aan een auto-ongeluk, maar toch een unieke esthetiek heeft.", 
Santos 100,2004,"Een moderne interpretatie van het originele Santos-horloge met een grotere kast en een eigentijdse uitstraling.", 
Tortue XL,2008,"Een groter formaat Tortue-horloge met een rechthoekige kast en een unieke uitstraling.",
