naam,jaar,beschrijving,afbeelding
Navitimer,1952,"De Navitimer is een iconisch chronograaf horloge ontworpen voor piloten, met een roterende lunette en een ingewikkelde wijzerplaat met talrijke functies. Het horloge wordt beschouwd als een van de belangrijkste horloges van de 20e eeuw.", 
Chronomat,1941,"De Chronomat is een klassieke chronograaf horloge met een roestvrijstalen kast en een saffierkristallen venster. Het horloge is waterbestendig en heeft een precisie Zwitsers automatisch uurwerk.", 
SuperOcean,1957,"De SuperOcean is een duikershorloge dat waterdicht is tot grote dieptes en beschikt over een heliumventiel om de druk te verminderen. Het horloge is robuust en betrouwbaar voor professionele duikers.", 
Transocean,1958,"De Transocean is een elegant dress watch met een eenvoudig en klassiek ontwerp. Het horloge heeft een automatisch uurwerk en is gemaakt van hoogwaardige materialen zoals goud en leer.", 
Bentley Motors,2003,"De Bentley Motors is een samenwerking tussen Breitling en de Britse autofabrikant Bentley. Het horloge heeft een roestvrijstalen kast en een complicatie met een chronograaf en een tachymeterschaal.", 
Avenger,2001,"De Avenger is een stoer en robuust horloge dat geschikt is voor extreme omstandigheden. Het horloge is waterdicht tot grote dieptes en beschikt over een precisie Zwitsers automatisch uurwerk.", 
Montbrillant,1949,"De Montbrillant is een klassieke chronograaf horloge met een rijke geschiedenis. Het horloge heeft een roestvrijstalen kast en een saffierkristallen venster.", 
Galactic,2010,"De Galactic is een modern en sportief horloge met een elegante uitstraling. Het horloge heeft een roestvrijstalen kast en is beschikbaar in verschillende kleuren en maten.", 
Emergency,1995,"De Emergency is een uniek horloge dat is uitgerust met een noodsignaal zender voor noodgevallen. Het horloge is ontworpen voor piloten en avonturiers die risico's nemen in afgelegen gebieden.", 
Superocean Heritage,2007,"De Superocean Heritage is een moderne interpretatie van de klassieke duikershorloge. Het horloge is waterdicht tot grote dieptes en beschikt over een precisie Zwitsers automatisch uurwerk.", 
Colt,1980,"De Colt is een robuust horloge ontworpen voor militair gebruik. Het horloge is waterbestendig en schokbestendig en beschikt over een precies en betrouwbaar uurwerk.", 
