naam,jaar,land,beschrijving
Rolex,1905,Zwitserland,"Rolex is een van de meest iconische horlogemerken ter wereld, bekend om zijn tijdloze ontwerpen en compromisloze kwaliteit. Het merk heeft talloze innovaties geïntroduceerd, zoals het eerste waterdichte horloge en het eerste horloge met een automatisch datummechanisme."
Omega,1848,Zwitserland,"Opgericht in 1848, is Omega een van de bekendste en meest gerespecteerde horlogemerken ter wereld. Het merk is beroemd om zijn nauwkeurigheid en betrouwbaarheid, en is de officiële tijdwaarnemer van de Olympische Spelen."
Patek Philippe,1839,Zwitserland,"Patek Philippe is een van de meest prestigieuze horlogemerken ter wereld, met een geschiedenis van meer dan 180 jaar. Het merk staat bekend om zijn technische innovaties en verfijnde esthetiek, en heeft enkele van de meest complexe horloges ooit gemaakt."
Audemars Piguet,1875,Zwitserland,"Audemars Piguet is een van de meest gewaardeerde horlogemerken ter wereld, bekend om zijn innovatieve ontwerpen en technische hoogstandjes. Het merk heeft een lange geschiedenis van het creëren van unieke en onderscheidende horloges, zoals de Royal Oak en de Royal Oak Offshore."
Cartier,1847,Frankrijk,"Cartier is een Frans luxemerk dat beroemd is om zijn sieraden en horloges. Het merk heeft een lange geschiedenis van het produceren van elegante, verfijnde horloges met een tijdloze uitstraling en een onmiskenbare stijl."
IWC Schaffhausen,1868,Zwitserland,"IWC Schaffhausen is een Zwitsers horlogemerk dat bekend staat om zijn technische innovaties en verfijnde ontwerpen. Het merk heeft een lange geschiedenis van het produceren van horloges die zowel elegant als functioneel zijn, met kenmerkende complicaties zoals de chronograaf en de eeuwigdurende kalender."
Tag Heuer,1860,Zwitserland,"Tag Heuer is een Zwitsers horlogemerk dat bekend staat om zijn sportieve en dynamische horloges. Het merk heeft een lange geschiedenis van het creëren van horloges die zijn ontworpen voor snelheid en precisie, met kenmerkende complicaties zoals de chronograaf."
Breitling,1884,Zwitserland,"Breitling is een Zwitsers horlogemerk dat bekend staat om zijn nauwkeurigheid en betrouwbaarheid. Het merk heeft een lange geschiedenis van het creëren van horloges voor piloten en andere professionals, met kenmerkende eigenschappen zoals een draaibare lunette en een chronograaf."
IWC Schaffhausen,1868,Zwitserland,"IWC Schaffhausen is een Zwitsers horlogemerk dat bekend staat om zijn hoge kwaliteit en innovatie op het gebied van techniek en design. Het merk heeft een lange geschiedenis van het produceren van precisie-instrumenten, en produceert vandaag de dag een breed scala aan horloges, waaronder pilotenhorloges, duikhorloges en dress watches."
Jaeger-LeCoultre,1833,Zwitserland,"Jaeger-LeCoultre is een Zwitsers horlogemerk dat bekend staat om zijn technische innovatie en vakmanschap. Het merk heeft een lange geschiedenis van het ontwikkelen van complicaties en heeft een aantal iconische horloges geproduceerd, waaronder de Reverso en de Memovox. Jaeger-LeCoultre staat ook bekend om zijn samenwerking met andere luxe merken."
Panerai,1860,Italië,"Panerai is een Italiaans horlogemerk dat bekend staat om zijn grote, opvallende horloges en robuuste ontwerp. Het merk begon als leverancier van precisie-instrumenten voor de Italiaanse marine en produceert vandaag de dag nog steeds horloges met een sterke maritieme esthetiek. Panerai is ook bekend om zijn samenwerking met andere luxe merken."
